equipo,hdd_uso,hdd_inestabilidad,hdd_tasa_cambio,unidades_hdd,registros_hdd,hdd_uso_score,hdd_inestabilidad_score,hdd_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
93,50.76233963245647,0.02228749803461591,49.661103116858946,"['avg', 'E:', 'D:', 'C:']",32,28.28,69.7,63.64,53.87333333333333,Uso: 28.3pts | Estabilidad: 69.7pts | Cambios: 63.6pts,Optimizar uso HDD,Bueno,45
10,52.36102514845735,0.1302465925106729,8.250121320008295,"['G:', 'C:', 'E:', 'D:', 'avg']",40,19.19,43.43,93.94,52.18666666666667,Uso: 19.2pts | Estabilidad: 43.4pts | Cambios: 93.9pts,Optimizar uso HDD; Reducir variabilidad HDD,Bueno,46
183,19.161177995028755,0.7446723210568662,139.8201293040744,"['G:', 'C:', 'E:', 'D:', 'avg']",40,88.89,26.26,41.41,52.18666666666667,Uso: 88.9pts | Estabilidad: 26.3pts | Cambios: 41.4pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Bueno,47
171,13.50251243278677,0.17518348027314967,722.8845424676089,"['avg', 'E:', 'D:', 'C:']",32,90.91,41.41,23.23,51.849999999999994,Uso: 90.9pts | Estabilidad: 41.4pts | Cambios: 23.2pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Bueno,48
90,50.08204291167346,0.029396623244228544,57.179914684255536,"['avg', 'E:', 'D:', 'C:']",32,31.31,60.61,59.6,50.50666666666667,Uso: 31.3pts | Estabilidad: 60.6pts | Cambios: 59.6pts,Optimizar uso HDD,Bueno,49
165,22.423556609012316,0.7849172554857683,202.21334085803923,"['G:', 'C:', 'E:', 'D:', 'avg']",40,84.85,24.24,39.39,49.493333333333325,Uso: 84.8pts | Estabilidad: 24.2pts | Cambios: 39.4pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,50
184,38.30123382742896,0.46261375368405544,64.33783097639498,"['G:', 'C:', 'E:', 'D:', 'avg']",40,58.59,32.32,56.57,49.16,Uso: 58.6pts | Estabilidad: 32.3pts | Cambios: 56.6pts,Reducir variabilidad HDD,Regular,51
95,51.46798111373548,0.028835731853944335,55.56887849750677,"['avg', 'E:', 'D:', 'C:']",32,24.24,61.62,60.61,48.82333333333333,Uso: 24.2pts | Estabilidad: 61.6pts | Cambios: 60.6pts,Optimizar uso HDD,Regular,52
1599,25.909957926741473,0.5949701709788574,247.70001709270483,"['avg', 'E:', 'D:', 'C:']",32,80.81,28.28,37.37,48.81999999999999,Uso: 80.8pts | Estabilidad: 28.3pts | Cambios: 37.4pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,53
1597,27.319201544955718,0.3663434090848847,299.00723114439813,"['avg', 'E:', 'D:', 'C:']",32,76.77,33.33,32.32,47.47333333333333,Uso: 76.8pts | Estabilidad: 33.3pts | Cambios: 32.3pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,54
94,51.16944406231774,0.06646236091873386,34.56648884814142,"['avg', 'E:', 'D:', 'C:']",32,25.25,48.48,68.69,47.47333333333333,Uso: 25.2pts | Estabilidad: 48.5pts | Cambios: 68.7pts,Optimizar uso HDD; Reducir variabilidad HDD,Regular,55
32,52.40002111210498,0.024590000757658464,72.51716817316375,"['avg', 'E:', 'D:', 'C:']",32,18.18,68.69,52.53,46.46666666666666,Uso: 18.2pts | Estabilidad: 68.7pts | Cambios: 52.5pts,Optimizar uso HDD,Regular,56
130,45.94226268394862,0.048636810374397,89.12303097738032,"['avg', 'E:', 'D:', 'C:']",32,41.41,51.52,46.46,46.46333333333333,Uso: 41.4pts | Estabilidad: 51.5pts | Cambios: 46.5pts,Optimizar uso HDD; Estabilizar cambios HDD,Regular,57
91,51.47144097633166,0.028814888248985766,75.35552562357111,"['avg', 'E:', 'D:', 'C:']",32,23.23,62.63,51.52,45.79333333333333,Uso: 23.2pts | Estabilidad: 62.6pts | Cambios: 51.5pts,Optimizar uso HDD,Regular,58
128,53.331546371417105,0.033318462103254134,46.737431961679825,"['avg', 'E:', 'D:', 'C:']",32,14.14,55.56,64.65,44.78333333333333,Uso: 14.1pts | Estabilidad: 55.6pts | Cambios: 64.7pts,Optimizar uso HDD,Regular,59
1600,29.93040528821767,0.6192326540113324,289.7668304239436,"['avg', 'E:', 'D:', 'C:']",32,72.73,27.27,34.34,44.779999999999994,Uso: 72.7pts | Estabilidad: 27.3pts | Cambios: 34.3pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,60
35,52.751983734546705,0.030382377974145544,65.49728355048737,"['avg', 'E:', 'D:', 'C:']",32,15.15,59.6,55.56,43.43666666666667,Uso: 15.2pts | Estabilidad: 59.6pts | Cambios: 55.6pts,Optimizar uso HDD,Regular,61
89,45.57308613322107,0.22164580274305284,95.81279742973643,"['F:', 'C:', 'E:', 'D:', 'avg']",40,46.46,39.39,43.43,43.093333333333334,Uso: 46.5pts | Estabilidad: 39.4pts | Cambios: 43.4pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,62
136,51.753125349848965,0.040307839164277076,75.52514406473462,"['avg', 'E:', 'D:', 'C:']",32,22.22,53.54,50.51,42.089999999999996,Uso: 22.2pts | Estabilidad: 53.5pts | Cambios: 50.5pts,Optimizar uso HDD,Regular,63
132,50.252627827008126,0.03291137034758551,184.7075366867622,"['avg', 'E:', 'D:', 'C:']",32,29.29,56.57,40.4,42.08666666666666,Uso: 29.3pts | Estabilidad: 56.6pts | Cambios: 40.4pts,Optimizar uso HDD; Estabilizar cambios HDD,Regular,64
1598,27.033775049907263,1.0586820390086022,1671.16085175858,"['I:', 'avg', 'D:', 'C:']",32,77.78,21.21,22.22,40.403333333333336,Uso: 77.8pts | Estabilidad: 21.2pts | Cambios: 22.2pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,65
64,42.935046986457436,0.36491460148405774,291.564603926162,"['G:', 'C:', 'E:', 'D:', 'avg']",40,50.51,34.34,33.33,39.39333333333333,Uso: 50.5pts | Estabilidad: 34.3pts | Cambios: 33.3pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,66
131,51.104774524948,0.06107105446984169,109.8704125812423,"['avg', 'E:', 'D:', 'C:']",32,26.26,49.49,42.42,39.39,Uso: 26.3pts | Estabilidad: 49.5pts | Cambios: 42.4pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,67
170,33.25148143891859,1.1562783596356028,411.10260868529565,"['H:', 'C:', 'E:', 'D:', 'avg']",40,67.68,20.2,29.29,39.05666666666667,Uso: 67.7pts | Estabilidad: 20.2pts | Cambios: 29.3pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,68
92,58.20142978633156,0.031088350530043662,88.11107988861887,"['avg', 'E:', 'D:', 'C:']",32,8.08,57.58,47.47,37.709999999999994,Uso: 8.1pts | Estabilidad: 57.6pts | Cambios: 47.5pts,Optimizar uso HDD; Estabilizar cambios HDD,Regular,69
1605,49.56445688970518,0.1178258282452165,323.5301197944535,"['avg', 'E:', 'D:', 'C:']",32,34.34,45.45,31.31,37.03333333333333,Uso: 34.3pts | Estabilidad: 45.5pts | Cambios: 31.3pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,70
31,58.96958352411349,0.3503354896756088,59.740319577060966,"['avg', 'E:', 'D:', 'C:']",32,7.07,36.36,58.59,34.00666666666667,Uso: 7.1pts | Estabilidad: 36.4pts | Cambios: 58.6pts,Optimizar uso HDD; Reducir variabilidad HDD,Regular,71
96,69.19144282329505,0.1299299842175386,72.3552721994984,"['avg', 'E:', 'D:', 'C:']",32,2.02,44.44,53.54,33.33333333333333,Uso: 2.0pts | Estabilidad: 44.4pts | Cambios: 53.5pts,Optimizar uso HDD; Reducir variabilidad HDD,Regular,72
135,53.73156063047746,0.2829076098250408,237.2700350233284,"['avg', 'E:', 'D:', 'C:']",32,13.13,37.37,38.38,29.626666666666665,Uso: 13.1pts | Estabilidad: 37.4pts | Cambios: 38.4pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,73
1628,36.26475463808659,2.4729218170658225,5561.8987189161135,"['Z:', 'avg', 'C:']",24,65.66,5.05,13.13,27.946666666666665,Uso: 65.7pts | Estabilidad: 5.0pts | Cambios: 13.1pts,Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,74
1603,48.02216800842169,0.4848303608188216,2842.019944135322,"['avg', 'E:', 'D:', 'C:']",32,36.36,31.31,16.16,27.94333333333333,Uso: 36.4pts | Estabilidad: 31.3pts | Cambios: 16.2pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,75
126,69.15408153758894,0.5487321208489235,78.12310298105086,"['avg', 'E:', 'D:', 'C:']",32,3.03,30.3,49.49,27.606666666666666,Uso: 3.0pts | Estabilidad: 30.3pts | Cambios: 49.5pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Regular,76
127,75.63270960568438,0.7482337111178123,85.41630911181528,"['avg', 'E:', 'D:', 'C:']",32,0.0,25.25,48.48,24.57666666666666,Uso: 0.0pts | Estabilidad: 25.2pts | Cambios: 48.5pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,77
129,64.20975440002748,0.5793536208386123,247.90481909198948,"['G:', 'C:', 'E:', 'D:', 'avg']",40,5.05,29.29,36.36,23.566666666666663,Uso: 5.0pts | Estabilidad: 29.3pts | Cambios: 36.4pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,78
1626,45.84639889755357,1.7146332603751757,7548.301537346858,"['Z:', 'avg', 'C:']",24,42.42,17.17,10.1,23.23,Uso: 42.4pts | Estabilidad: 17.2pts | Cambios: 10.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,79
1632,45.299168272409474,1.8245869254355715,8976.51990671356,"['Z:', 'avg', 'C:']",24,47.47,16.16,5.05,22.893333333333334,Uso: 47.5pts | Estabilidad: 16.2pts | Cambios: 5.0pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,80
1629,46.1394493357962,1.8813705160024845,7160.864781554376,"['Z:', 'avg', 'C:']",24,40.4,13.13,12.12,21.883333333333333,Uso: 40.4pts | Estabilidad: 13.1pts | Cambios: 12.1pts,Optimizar uso HDD; Reducir variabilidad HDD; Estabilizar cambios HDD,Necesita Mejora,81
