equipo,cp_llenado,cp_inestabilidad,cp_tasa_cambio,areas_cp,registros_cp,cp_llenado_score,cp_inestabilidad_score,cp_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
162,7117.078013880953,107.9007373254037,18800.888229675027,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,25.45,76.36,52.73,51.513333333333335,Llenado: 25.4pts | Estabilidad: 76.4pts | Cambios: 52.7pts,Mejorar ocupación CP,Bueno,26
157,7117.671578937302,123.56439982443638,19996.278996229852,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,34.55,67.27,50.91,50.91,Llenado: 34.5pts | Estabilidad: 67.3pts | Cambios: 50.9pts,Mejorar ocupación CP,Bueno,27
54,7119.589960361111,190.13361928076736,16664.30758654515,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,60.0,30.91,60.0,50.303333333333335,Llenado: 60.0pts | Estabilidad: 30.9pts | Cambios: 60.0pts,Reducir variabilidad CP,Bueno,28
1636,562708.7502644445,226147.36651025864,20780.209777104137,"['PP_NFD', 'IOLOAD', 'TOTMEM', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,100.0,5.45,45.45,50.3,Llenado: 100.0pts | Estabilidad: 5.5pts | Cambios: 45.5pts,Reducir variabilidad CP; Estabilizar cambios CP,Bueno,29
87,7122.08489012381,282.534514835975,20629.672419279454,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,78.18,20.0,47.27,48.483333333333334,Llenado: 78.2pts | Estabilidad: 20.0pts | Cambios: 47.3pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,30
4,7661.66439638254,24639.151162801547,25427.459990242805,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,92.73,12.73,36.36,47.27333333333333,Llenado: 92.7pts | Estabilidad: 12.7pts | Cambios: 36.4pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,31
1635,347771.14193126984,667702.9130948053,22089.201673945794,"['PP_NFD', 'IOLOAD', 'TOTMEM', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,98.18,0.0,41.82,46.666666666666664,Llenado: 98.2pts | Estabilidad: 0.0pts | Cambios: 41.8pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,32
182,7120.5581444284735,145.9622638434262,52720.08200644198,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",72,70.91,52.73,9.09,44.243333333333325,Llenado: 70.9pts | Estabilidad: 52.7pts | Cambios: 9.1pts,Estabilizar cambios CP,Regular,33
28,7116.639150811111,125.85731662945156,20367.353005019904,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,18.18,65.45,49.09,44.239999999999995,Llenado: 18.2pts | Estabilidad: 65.5pts | Cambios: 49.1pts,Mejorar ocupación CP; Estabilizar cambios CP,Regular,34
57,41650.04628611746,68017.45664603217,27689.42882298098,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,96.36,7.27,29.09,44.239999999999995,Llenado: 96.4pts | Estabilidad: 7.3pts | Cambios: 29.1pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,35
